Email Number,Intent Category,Intent Description,Email Body
1,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Kindly abstract the attached lease agreement for the ""Maple Street Retail"" property. Focus on identifying the key financial terms, such as base rent, percentage rent, and any applicable abatements."
2,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","I need a full abstraction of the lease for the ""Smith Office Building"" (see attached). Please prioritize the tenant improvement allowance, common area maintenance (CAM) charges, and any early termination clauses."
3,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Please analyze the attached lease document for the ""Greenwood Apartments"" and extract all information related to renewal options, notice periods for renewal, and any conditions for exercising those options."
4,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","We require a summary of the ""Riverbend Industrial Park"" lease. Specifically, provide details on the commencement and expiry dates, rent payment frequency, and any late payment penalties."
5,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Could you abstract the landlord and tenant names, their respective contact information, and any guarantees associated with the ""Willow Creek Plaza"" lease (attached)?"
6,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Please identify all insurance requirements and indemnification clauses within the attached ""Downtown Lofts"" lease agreement."
7,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","For the ""Lakeside Medical Center"" lease (PDF provided), I need a detailed breakdown of the escalation schedule, including the frequency and method of rent increases."
8,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Abstract the permitted use clause and any restrictions on alterations or improvements from the ""Gateway Business Park"" lease."
9,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Please provide an abstract of the assignment and subletting provisions found in the ""Oceanview Condos"" lease."
10,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","From the attached ""Heritage Building"" lease, extract information regarding security deposits, letters of credit, and their respective return conditions."
11,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Could you abstract all default and remedies clauses from the ""Sunrise Mall"" lease agreement?"
12,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","Please identify all landlord obligations and tenant responsibilities related to maintenance and repairs in the ""Parkside Community Center"" lease."
13,Intent_Lease_Abstraction,"Extract lease metadata and clauses (e.g., rent, term, landlord, tenant, renewal).","We need an abstraction of the ""Crossroads Distribution Center"" lease focusing on any options to expand or contract the leased premises."
